Generation,AI_Kills,Player_Kills,Average_AI_Health,Player_Mousetraps
1,0,0,100.0,0.0
2,0,0,96.66666666666667,0.0
3,0,0,93.33333333333333,0.0
4,0,0,89.0,0.0
5,0,0,85.0,0.0
6,1,0,87.5,0.0
7,1,0,83.92857142857143,0.0
8,2,0,88.46153846153847,0.0
9,2,0,86.15384615384616,0.0
10,2,0,82.3076923076923,0.0
11,2,0,77.6923076923077,0.0
12,3,0,81.25,0.0
13,4,0,85.9090909090909,0.0
14,4,0,85.45454545454545,0.0
15,4,0,83.18181818181819,0.0
16,4,0,80.45454545454545,0.0
17,4,0,77.27272727272727,0.0
18,4,0,75.0,0.0
19,4,0,70.45454545454545,0.0
20,5,0,73.0,0.0
21,5,0,70.0,0.0
22,5,0,67.5,0.0
23,6,0,71.66666666666667,0.0
24,6,0,67.22222222222223,0.0
25,7,0,70.0,0.0
26,7,0,66.875,0.0
27,7,0,63.75,0.0
28,8,0,72.14285714285714,0.0
29,8,0,72.14285714285714,0.0
30,8,0,70.0,0.0
31,8,0,70.0,0.0
32,8,0,66.42857142857143,0.0
33,8,0,62.857142857142854,0.0
34,8,0,59.285714285714285,0.0
35,8,0,57.857142857142854,0.0
36,8,0,57.857142857142854,0.0
37,8,0,57.857142857142854,0.0
38,8,0,55.714285714285715,0.0
39,8,0,55.714285714285715,0.0
40,8,0,55.714285714285715,0.0
41,8,0,55.714285714285715,0.0
42,8,0,55.714285714285715,0.0
43,8,0,55.714285714285715,0.0
44,8,0,55.714285714285715,0.0
45,8,0,55.714285714285715,0.0
46,8,0,55.714285714285715,0.0
47,8,0,55.714285714285715,0.0
48,8,0,55.714285714285715,0.0
49,9,0,63.333333333333336,0.0
50,9,0,63.333333333333336,0.0
51,9,0,63.333333333333336,0.0
52,9,0,63.333333333333336,0.0
53,10,0,74.0,0.0
54,10,0,74.0,0.0
55,10,0,69.0,0.0
56,10,0,65.0,0.0
57,10,0,63.0,0.0
58,11,0,72.5,0.0
59,11,0,71.25,0.0
60,11,0,65.0,0.0
61,12,0,80.0,0.0
62,12,0,80.0,0.0
63,12,0,80.0,0.0
64,12,0,71.66666666666667,0.0
65,12,0,63.333333333333336,0.0
66,13,0,92.5,0.0
67,13,0,92.5,0.0
68,13,0,92.5,0.0
69,13,0,92.5,0.0
70,13,0,82.5,0.0
71,13,0,70.0,0.0
72,13,0,57.5,0.0
73,13,0,37.5,0.0
74,14,0,45.0,0.0
75,14,0,20.0,0.0
76,14,0,20.0,0.0
